TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
551100000000.0	1616380989.6	1554636400.9	1680577852.2
551200000000.0	1616381933.9	1554637226.8	1680578923.1
551300000000.0	1616382877.9	1554638052.4	1680579993.5
551400000000.0	1616383821.6	1554638877.7	1680581063.6
551500000000.0	1616384764.9	1554639702.7	1680582133.3
551600000000.0	1616385707.8	1554640527.5	1680583202.6
551700000000.0	1616386650.5	1554641351.9	1680584271.5
551800000000.0	1616387592.8	1554642176.0	1680585340.1
551900000000.0	1616388534.7	1554642999.8	1680586408.2
552000000000.0	1616389476.3	1554643823.3	1680587476.0
552100000000.0	1616390417.6	1554644646.6	1680588543.4
552200000000.0	1616391358.5	1554645469.5	1680589610.3
552300000000.0	1616392299.1	1554646292.1	1680590677.0
552400000000.0	1616393239.3	1554647114.4	1680591743.2
552500000000.0	1616394179.2	1554647936.5	1680592809.0
552600000000.0	1616395118.8	1554648758.2	1680593874.5
552700000000.0	1616396058.0	1554649579.7	1680594939.5
552800000000.0	1616396996.9	1554650400.8	1680596004.2
552900000000.0	1616397935.4	1554651221.6	1680597068.5
553000000000.0	1616398873.6	1554652042.2	1680598132.4
553100000000.0	1616399811.5	1554652862.5	1680599196.0
553200000000.0	1616400749.1	1554653682.4	1680600259.1
553300000000.0	1616401686.2	1554654502.1	1680601321.9
553400000000.0	1616402623.1	1554655321.5	1680602384.3
553500000000.0	1616403559.6	1554656140.5	1680603446.3
553600000000.0	1616404495.8	1554656959.3	1680604507.9
553700000000.0	1616405431.7	1554657777.8	1680605569.2
553800000000.0	1616406367.2	1554658596.0	1680606630.0
553900000000.0	1616407302.3	1554659413.9	1680607690.5
554000000000.0	1616408237.2	1554660231.5	1680608750.6
554100000000.0	1616409171.7	1554661048.8	1680609810.3
554200000000.0	1616410105.8	1554661865.8	1680610869.6
554300000000.0	1616411039.7	1554662682.5	1680611928.6
554400000000.0	1616411973.2	1554663499.0	1680612987.2
554500000000.0	1616412906.3	1554664315.1	1680614045.3
554600000000.0	1616413839.1	1554665130.9	1680615103.2
554700000000.0	1616414771.6	1554665946.5	1680616160.6
554800000000.0	1616415703.8	1554666761.7	1680617217.6
554900000000.0	1616416635.6	1554667576.7	1680618274.3
555000000000.0	1616417567.1	1554668391.3	1680619330.6
555100000000.0	1616418498.2	1554669205.7	1680620386.5
555200000000.0	1616419429.0	1554670019.8	1680621442.0
555300000000.0	1616420359.5	1554670833.6	1680622497.2
555400000000.0	1616421289.7	1554671647.1	1680623552.0
555500000000.0	1616422219.5	1554672460.3	1680624606.4
555600000000.0	1616423149.0	1554673273.2	1680625660.4
555700000000.0	1616424078.1	1554674085.8	1680626714.0
555800000000.0	1616425006.9	1554674898.2	1680627767.3
555900000000.0	1616425935.4	1554675710.2	1680628820.2
556000000000.0	1616426863.5	1554676521.9	1680629872.7
556100000000.0	1616427791.3	1554677333.4	1680630924.8
556200000000.0	1616428718.8	1554678144.6	1680631976.6
556300000000.0	1616429646.0	1554678955.4	1680633027.9
556400000000.0	1616430572.8	1554679766.0	1680634078.9
556500000000.0	1616431499.3	1554680576.3	1680635129.6
556600000000.0	1616432425.4	1554681386.3	1680636179.8
556700000000.0	1616433351.2	1554682196.0	1680637229.7
556800000000.0	1616434276.7	1554683005.5	1680638279.2
556900000000.0	1616435201.9	1554683814.6	1680639328.3
557000000000.0	1616436126.7	1554684623.4	1680640377.0
557100000000.0	1616437051.2	1554685432.0	1680641425.4
557200000000.0	1616437975.4	1554686240.3	1680642473.4
557300000000.0	1616438899.2	1554687048.2	1680643521.0
557400000000.0	1616439822.7	1554687855.9	1680644568.3
557500000000.0	1616440745.9	1554688663.3	1680645615.1
557600000000.0	1616441668.7	1554689470.4	1680646661.6
557700000000.0	1616442591.2	1554690277.2	1680647707.8
557800000000.0	1616443513.4	1554691083.8	1680648753.5
557900000000.0	1616444435.3	1554691890.0	1680649798.9
558000000000.0	1616445356.8	1554692696.0	1680650843.9
558100000000.0	1616446278.0	1554693501.6	1680651888.5
558200000000.0	1616447198.8	1554694307.0	1680652932.8
558300000000.0	1616448119.4	1554695112.1	1680653976.7
558400000000.0	1616449039.6	1554695916.9	1680655020.2
